"X","Date","Monthly.Mean.Total.Sunspot.Number"
1,"1965-08-31",13.3
2,"1965-09-30",24.5
3,"1965-10-31",29.1
4,"1965-11-30",22.8
5,"1965-12-31",24.7
6,"1966-01-31",40.3
7,"1966-02-28",35.3
8,"1966-03-31",36.4
9,"1966-04-30",69
10,"1966-05-31",64.2
11,"1966-06-30",67.7
12,"1966-07-31",80.2
13,"1966-08-31",72.6
14,"1966-09-30",71.1
15,"1966-10-31",81.2
16,"1966-11-30",81
17,"1966-12-31",99.8
18,"1967-01-31",157
19,"1967-02-28",132.6
20,"1967-03-31",158.3
21,"1967-04-30",98.4
22,"1967-05-31",122.5
23,"1967-06-30",95.4
24,"1967-07-31",129.5
25,"1967-08-31",151.8
26,"1967-09-30",108.7
27,"1967-10-31",125
28,"1967-11-30",133.6
29,"1967-12-31",179
30,"1968-01-31",172.5
31,"1968-02-29",158.5
32,"1968-03-31",130.5
33,"1968-04-30",115
34,"1968-05-31",180
35,"1968-06-30",156.2
36,"1968-07-31",136.2
37,"1968-08-31",154.8
38,"1968-09-30",166
39,"1968-10-31",152.5
40,"1968-11-30",121.7
41,"1968-12-31",155.5
42,"1969-01-31",147.8
43,"1969-02-28",170.5
44,"1969-03-31",192.3
45,"1969-04-30",151.1
46,"1969-05-31",169.9
47,"1969-06-30",150.1
48,"1969-07-31",137.1
49,"1969-08-31",138.8
50,"1969-09-30",129.3
51,"1969-10-31",135.4
52,"1969-11-30",132.4
53,"1969-12-31",138.6
54,"1970-01-31",157.9
55,"1970-02-28",180.8
56,"1970-03-31",145.7
57,"1970-04-30",155.1
58,"1970-05-31",180.5
59,"1970-06-30",151.3
60,"1970-07-31",159.3
61,"1970-08-31",131.7
62,"1970-09-30",140.8
63,"1970-10-31",122.6
64,"1970-11-30",134.8
65,"1970-12-31",118.2
66,"1971-01-31",129.2
67,"1971-02-28",111.8
68,"1971-03-31",85.9
69,"1971-04-30",101.6
70,"1971-05-31",81.5
71,"1971-06-30",70.7
72,"1971-07-31",114.7
73,"1971-08-31",87
74,"1971-09-30",71.3
75,"1971-10-31",73.4
76,"1971-11-30",89.5
77,"1971-12-31",116.5
78,"1972-01-31",87
79,"1972-02-29",125.3
80,"1972-03-31",113.5
81,"1972-04-30",89.6
82,"1972-05-31",113.9
83,"1972-06-30",124.7
84,"1972-07-31",108.3
85,"1972-08-31",108.9
86,"1972-09-30",90.7
87,"1972-10-31",86.9
88,"1972-11-30",59.2
89,"1972-12-31",64.3
90,"1973-01-31",61.8
91,"1973-02-28",60.9
92,"1973-03-31",65.4
93,"1973-04-30",81.8
94,"1973-05-31",60.3
95,"1973-06-30",56.1
96,"1973-07-31",33.2
97,"1973-08-31",36.6
98,"1973-09-30",84.1
99,"1973-10-31",43.7
100,"1973-11-30",34.3
101,"1973-12-31",33.3
102,"1974-01-31",39.4
103,"1974-02-28",37.3
104,"1974-03-31",30.9
105,"1974-04-30",57.5
106,"1974-05-31",56.3
107,"1974-06-30",51.5
108,"1974-07-31",79.1
109,"1974-08-31",47.9
110,"1974-09-30",57.2
111,"1974-10-31",67.2
112,"1974-11-30",35.9
113,"1974-12-31",29.6
114,"1975-01-31",27.3
115,"1975-02-28",16.7
116,"1975-03-31",16.9
117,"1975-04-30",7.7
118,"1975-05-31",13.1
119,"1975-06-30",16.7
120,"1975-07-31",40.4
121,"1975-08-31",56.7
122,"1975-09-30",20.3
123,"1975-10-31",13.6
124,"1975-11-30",27.9
125,"1975-12-31",11.6
126,"1976-01-31",11.9
127,"1976-02-29",6.4
128,"1976-03-31",31.5
129,"1976-04-30",27.3
130,"1976-05-31",18.2
131,"1976-06-30",17.9
132,"1976-07-31",2.9
133,"1976-08-31",24.1
134,"1976-09-30",20
135,"1976-10-31",29.7
136,"1976-11-30",7.9
137,"1976-12-31",22.3
138,"1977-01-31",23.8
139,"1977-02-28",33.3
140,"1977-03-31",13
141,"1977-04-30",19
142,"1977-05-31",27
143,"1977-06-30",54.9
144,"1977-07-31",30.6
145,"1977-08-31",43
146,"1977-09-30",62.4
147,"1977-10-31",62.1
148,"1977-11-30",41.6
149,"1977-12-31",61.4
150,"1978-01-31",73.7
151,"1978-02-28",132.6
152,"1978-03-31",108.4
153,"1978-04-30",141.2
154,"1978-05-31",117.1
155,"1978-06-30",134.6
156,"1978-07-31",99.7
157,"1978-08-31",82.4
158,"1978-09-30",195.7
159,"1978-10-31",177.1
160,"1978-11-30",138.5
161,"1978-12-31",173.9
162,"1979-01-31",235.9
163,"1979-02-28",194.7
164,"1979-03-31",195.3
165,"1979-04-30",143.7
166,"1979-05-31",190.3
167,"1979-06-30",211.7
168,"1979-07-31",225.7
169,"1979-08-31",201.4
170,"1979-09-30",266.9
171,"1979-10-31",263.6
172,"1979-11-30",259.5
173,"1979-12-31",249.6
174,"1980-01-31",226.1
175,"1980-02-29",219.4
176,"1980-03-31",178.7
177,"1980-04-30",232.2
178,"1980-05-31",254.7
179,"1980-06-30",222.7
180,"1980-07-31",192.9
181,"1980-08-31",191.7
182,"1980-09-30",219.6
183,"1980-10-31",233.3
184,"1980-11-30",209.5
185,"1980-12-31",246.9
186,"1981-01-31",156.6
187,"1981-02-28",189.9
188,"1981-03-31",196.6
189,"1981-04-30",225.3
190,"1981-05-31",194.7
191,"1981-06-30",131.6
192,"1981-07-31",205.3
193,"1981-08-31",242.5
194,"1981-09-30",245.3
195,"1981-10-31",216.2
196,"1981-11-30",186
197,"1981-12-31",195.4
198,"1982-01-31",149.8
199,"1982-02-28",230.9
200,"1982-03-31",221.1
201,"1982-04-30",170.3
202,"1982-05-31",119.3
203,"1982-06-30",163.7
204,"1982-07-31",139.4
205,"1982-08-31",161.9
206,"1982-09-30",167.4
207,"1982-10-31",134.3
208,"1982-11-30",127.5
209,"1982-12-31",169
210,"1983-01-31",115.5
211,"1983-02-28",73.1
212,"1983-03-31",88.7
213,"1983-04-30",109.6
214,"1983-05-31",132.5
215,"1983-06-30",131.5
216,"1983-07-31",108.9
217,"1983-08-31",96
218,"1983-09-30",69.9
219,"1983-10-31",72.5
220,"1983-11-30",45.7
221,"1983-12-31",45.6
222,"1984-01-31",74.8
223,"1984-02-29",110.2
224,"1984-03-31",116.7
225,"1984-04-30",90.4
226,"1984-05-31",96.9
227,"1984-06-30",65.1
228,"1984-07-31",55.7
229,"1984-08-31",35
230,"1984-09-30",22.6
231,"1984-10-31",12.6
232,"1984-11-30",26.5
233,"1984-12-31",21.4
234,"1985-01-31",17.8
235,"1985-02-28",20.7
236,"1985-03-31",16.9
237,"1985-04-30",20.4
238,"1985-05-31",32.4
239,"1985-06-30",28.3
240,"1985-07-31",39.9
241,"1985-08-31",10.1
242,"1985-09-30",4.3
243,"1985-10-31",22
244,"1985-11-30",17.9
245,"1985-12-31",15.8
246,"1986-01-31",2.8
247,"1986-02-28",27.9
248,"1986-03-31",13.8
249,"1986-04-30",22.4
250,"1986-05-31",16.1
251,"1986-06-30",0.6
252,"1986-07-31",18.1
253,"1986-08-31",9.9
254,"1986-09-30",5.1
255,"1986-10-31",40.1
256,"1986-11-30",15.4
257,"1986-12-31",5.8
258,"1987-01-31",9.8
259,"1987-02-28",3.4
260,"1987-03-31",17.4
261,"1987-04-30",46
262,"1987-05-31",39.1
263,"1987-06-30",18.8
264,"1987-07-31",38.2
265,"1987-08-31",47.9
266,"1987-09-30",42.2
267,"1987-10-31",63.4
268,"1987-11-30",48.8
269,"1987-12-31",29.1
270,"1988-01-31",70.5
271,"1988-02-29",45.4
272,"1988-03-31",91.2
273,"1988-04-30",108.8
274,"1988-05-31",74.2
275,"1988-06-30",124.3
276,"1988-07-31",131.4
277,"1988-08-31",139.4
278,"1988-09-30",142.7
279,"1988-10-31",156.5
280,"1988-11-30",156.8
281,"1988-12-31",231.2
